"Fleet","Fleet_Name","Yr","Seas","2dAR off","base2026","No age sel","sigma_down.25","sigma_up.25"
18,"F18_JPLL_A5_num",2006,4,39.323,41.413,39.111,40.758,41.707
18,"F18_JPLL_A5_num",2007,4,10.929,11.267,11.572,11.424,11.1
18,"F18_JPLL_A5_num",2008,4,26.596,27.774,27.958,27.818,27.652
18,"F18_JPLL_A5_num",2009,3,31.604,29.823,28.901,30.214,29.499
18,"F18_JPLL_A5_num",2011,3,26.543,25.536,26.642,25.988,25.165
18,"F18_JPLL_A5_num",2011,4,51.3,54.608,54.981,54.158,54.826
19,"F19_JPPL_A35_Q1",2002,1,24.677,25.979,56.198,25.641,25.954
19,"F19_JPPL_A35_Q1",2004,1,36.6,35.687,20.785,35.581,36.779
19,"F19_JPPL_A35_Q1",2005,1,17.077,16.21,11.672,15.687,16.731
19,"F19_JPPL_A35_Q1",2007,1,8.031,7.953,8.599,8.048,7.97
